gid,request,reason,weight_kzt,priority_score
100000008603629100,входящие извне выборки,"отдал 5 млн ₸, получил в выборке 1.8 млн ₸: разница 3.2 млн ₸; проверить начальный остаток и невидимый вход",3168856.0,1.0
100000000331309100,входящие извне выборки,"отдал 23 млн ₸, получил в выборке 985 тыс ₸: разница 22 млн ₸; проверить начальный остаток и невидимый вход",22016740.0,0.9879
100000000437046100,входящие извне выборки,"отдал 7.6 млн ₸, получил в выборке 1.1 млн ₸: разница 6.5 млн ₸; проверить начальный остаток и невидимый вход",6499024.0,0.9798
100000003684369100,входящие seed (источник выручки),seed переправил 8.6 млн ₸; входящие seed в выгрузке неполны,8588655.0,0.9493
100000008477350100,входящие извне выборки,"отдал 3.4 млн ₸, получил в выборке 610 тыс ₸: разница 2.8 млн ₸; проверить начальный остаток и невидимый вход",2764766.0,0.9396
100000004400305100,входящие извне выборки,"отдал 5.8 млн ₸, получил в выборке 223 тыс ₸: разница 5.6 млн ₸; проверить начальный остаток и невидимый вход",5607381.0,0.8911
100000002224132100,входящие извне выборки,"отдал 12.1 млн ₸, получил в выборке 4 млн ₸: разница 8.2 млн ₸; проверить начальный остаток и невидимый вход",8163980.0,0.8897
100000008547948100,входящие извне выборки,"отдал 5.2 млн ₸, получил в выборке 213 тыс ₸: разница 5 млн ₸; проверить начальный остаток и невидимый вход",4972935.0,0.8686
100000004156082100,входящие извне выборки,"отдал 2.3 млн ₸, получил в выборке 377 тыс ₸: разница 1.9 млн ₸; проверить начальный остаток и невидимый вход",1942189.8900000001,0.8521
100000006866783100,входящие seed (источник выручки),seed переправил 3.9 млн ₸; входящие seed в выгрузке неполны,3948037.0,0.82
100000003016635100,входящие seed (источник выручки),seed переправил 9.4 млн ₸; входящие seed в выгрузке неполны,9414081.0,0.8136
100000008346837100,входящие извне выборки,"отдал 1.3 млн ₸, получил в выборке 254 тыс ₸: разница 1 млн ₸; проверить начальный остаток и невидимый вход",1004284.0,0.8104
